id,game_id,hastily,normally,completely,count,game_name,popularity_value,genres,platforms,keywords,log_popularity_value,cover_url
3754,319538,,,1970-01-01 01:00:00,1,A Little to the Left: Merry Mess,9.43739e-07,Puzzle | Indie,Xbox Series X|S | PC (Microsoft Windows) | Mac | Xbox One | Nintendo Switch,christmas | logic puzzle,9.4373855467863e-07,//images.igdb.com/igdb/image/upload/t_thumb/co97is.jpg
3755,321177,,,1970-01-01 01:00:00,1,A Little to the Left: Trick or Tidy,9.43739e-07,Puzzle | Indie,Xbox Series X|S | PC (Microsoft Windows) | Mac | Xbox One | Nintendo Switch,halloween | logic puzzle,9.4373855467863e-07,//images.igdb.com/igdb/image/upload/t_thumb/co97k0.jpg
3756,264334,,,1970-01-01 01:00:00,1,A Little to the Left: Deep Clean,9.43739e-07,Puzzle | Indie,Xbox Series X|S | PlayStation 4 | PC (Microsoft Windows) | PlayStation 5 | Xbox One | Nintendo Switch,logic puzzle,9.4373855467863e-07,//images.igdb.com/igdb/image/upload/t_thumb/co70m6.jpg
3757,319541,,,1970-01-01 01:00:00,1,A Little to the Left: Something Eggstra,9.43739e-07,Puzzle | Indie,Xbox Series X|S | PC (Microsoft Windows) | Mac | Xbox One | Nintendo Switch,logic puzzle | easter,9.4373855467863e-07,//images.igdb.com/igdb/image/upload/t_thumb/co97jz.jpg
3758,319539,,,1970-01-01 01:00:00,1,A Little to the Left: Good Tidyings,9.43739e-07,Puzzle | Indie,Xbox Series X|S | PC (Microsoft Windows) | Mac | Xbox One | Nintendo Switch,christmas | logic puzzle | chill,9.4373855467863e-07,//images.igdb.com/igdb/image/upload/t_thumb/co97j9.jpg
3759,101440,1970-01-02 12:40:00,1970-01-04 01:15:00,1970-01-06 03:20:00,5,S.T.A.L.K.E.R. 2: Heart of Chornobyl,0.000732827623341,Shooter | Role-playing (RPG) | Adventure,Xbox Series X|S | PC (Microsoft Windows) | PlayStation 5,post-apocalyptic | exploration | bloody | cinematic | gore | multiple endings | atmospheric | non-linear | story rich | violent | choices matter | radiation | rivaling factions | realism | immersive,0.0007325592362911,//images.igdb.com/igdb/image/upload/t_thumb/co5pxn.jpg
3760,318638,,,1970-01-06 05:00:00,1,Camp Buddy: Scoutmasters Season,4.1583883935e-05,Visual Novel,Linux | Android | PC (Microsoft Windows) | iOS | Mac,Not Available,4.158301934926692e-05,//images.igdb.com/igdb/image/upload/t_thumb/co8w2u.jpg
3761,226785,,,,1,Little Nightmares II: The Nome's Attic,3.774955998e-06,Not Available,Xbox Series X|S | PlayStation 4 | Xbox One | Nintendo Switch,Not Available,3.774948872871538e-06,//images.igdb.com/igdb/image/upload/t_thumb/co5t2a.jpg
3762,272889,,1970-01-01 12:00:00,,1,Plants vs. Zombies 2: Requiem,7.3926904773e-05,Real Time Strategy (RTS) | Strategy | Tactical | Adventure,Android,unofficial,7.392417231404267e-05,//images.igdb.com/igdb/image/upload/t_thumb/co79hy.jpg
3763,226055,,,1970-01-02 16:00:00,1,Plants vs. Zombies 2: Alternate UniverZ,4.620431548e-06,Real Time Strategy (RTS) | Strategy | Tactical | Adventure,Android,Not Available,4.620420873839035e-06,//images.igdb.com/igdb/image/upload/t_thumb/co5sdq.jpg
3764,272845,1970-01-01 01:00:00,1970-01-01 02:00:00,1970-01-01 03:00:00,1,Plants vs. Zombies 2: Garden Rush,6.4686041676e-05,Real Time Strategy (RTS) | Strategy | Tactical | Adventure,Android,unofficial,6.468394962422335e-05,//images.igdb.com/igdb/image/upload/t_thumb/co79g2.jpg
3765,199925,,,,1,Warcraft Rumble,1.3861294645e-05,Strategy,Android | PC (Microsoft Windows) | iOS,Not Available,1.3861198578143122e-05,//images.igdb.com/igdb/image/upload/t_thumb/co6wup.jpg
3766,190980,,,1970-01-01 13:00:00,1,FixFox,2.769962202e-06,Point-and-click | Puzzle | Adventure | Indie,PC (Microsoft Windows),exploration | female protagonist | pixel graphics | story rich,2.769958365661784e-06,//images.igdb.com/igdb/image/upload/t_thumb/co4hlf.jpg
3767,321629,,,1970-01-01 04:00:00,1,Awaria,4.3651443226e-05,Puzzle | Indie,Linux | PC (Microsoft Windows) | Mac,Not Available,4.365049052947643e-05,//images.igdb.com/igdb/image/upload/t_thumb/co960w.jpg
3768,162622,1970-01-01 04:00:00,1970-01-01 05:00:00,,1,Maneater: Truth Quest,4.620431548e-06,Role-playing (RPG) | Adventure | Indie,Xbox Series X|S | PlayStation 4 | PC (Microsoft Windows) | PlayStation 5 | Xbox One,steam achievements | steam families,4.620420873839035e-06,//images.igdb.com/igdb/image/upload/t_thumb/co3it8.jpg
3769,59946,1970-01-01 01:00:00,1970-01-01 03:00:00,1970-01-03 02:00:00,1,Yo-kai Watch Dance: Just Dance Special Edition,9.43739e-07,Music,Wii U,crossover | music and rhythm | motion control | wii remote support on wii u,9.4373855467863e-07,//images.igdb.com/igdb/image/upload/t_thumb/co1xgd.jpg
3770,203331,,,1970-01-01 03:00:00,1,Monument Valley: Panoramic Edition,4.620431548e-06,Puzzle | Strategy | Adventure | Indie,Xbox Series X|S | PlayStation 4 | PC (Microsoft Windows) | PlayStation 5 | Xbox One | Nintendo Switch,Not Available,4.620420873839035e-06,//images.igdb.com/igdb/image/upload/t_thumb/co5ljm.jpg
3771,273567,,,1970-01-01 01:00:00,1,Mizi No!,4.620431548e-06,Puzzle | Indie,PC (Microsoft Windows),free-to-play,4.620420873839035e-06,//images.igdb.com/igdb/image/upload/t_thumb/co7sjh.jpg
3772,248643,,1970-01-09 08:00:00,,1,Enshrouded,0.000541836722274,Role-playing (RPG) | Adventure,Xbox Series X|S | PC (Microsoft Windows) | PlayStation 5,arpg,0.000541689981761,//images.igdb.com/igdb/image/upload/t_thumb/coaavv.jpg
3773,8519,1970-01-01 01:00:00,,,1,Back to the Future Part III,8.493650996e-06,Shooter | Turn-based strategy (TBS) | Arcade,Commodore C64/128/MAX | ZX Spectrum | Sega Mega Drive/Genesis | Atari ST/STE | DOS | Amiga | Amstrad CPC | Sega Master System/Mark III,western | time travel | based on - movie | time machine | licensed game | auto-scrolling levels | tie-in | trilogy,8.493614925150626e-06,//images.igdb.com/igdb/image/upload/t_thumb/co4ebq.jpg
3774,282372,,,1970-01-01 02:00:00,1,Mini Cookie,1.887477999e-06,Puzzle,Pokémon mini,open-source | homebrew | retroachievements,1.887476217715643e-06,//images.igdb.com/igdb/image/upload/t_thumb/co98d2.jpg
3775,27976,1970-01-01 03:00:00,,,1,"Peace, Death!",1.7342372049e-05,Simulator | Indie | Arcade,Linux | Android | PC (Microsoft Windows) | iOS | Nintendo Switch,steam | achievements | steam trading cards | pixel art | pixel graphics | steam achievements | single-player only | steam cloud,1.7342221671804452e-05,//images.igdb.com/igdb/image/upload/t_thumb/co6re9.jpg
